Employee_ID,Age,Years_Experience,WFH_Days_Per_Week,Gender,Education_Level,Marital_Status,Has_Children,Location_Type,Department,Job_Level,Company_Size,Industry,Home_Office_Quality,Internet_Speed_Category,Work_Hours_Per_Week,Manager_Support_Level,Team_Collaboration_Frequency,Task_Completion_Rate,Quality_Score,Innovation_Score,Efficiency_Rating,Meetings_Per_Week,Commute_Time_Minutes,Job_Satisfaction,Stress_Level,Work_Life_Balance,Survey_Date,Response_Quality,Productivity_Score
EMP0396,30,1,4,Male,High School,Married,Yes,Urban,Data Science,Junior,Startup (1-50),Finance,Average,Fast (50-100 Mbps),45,Low,Daily,53.6,50,54.5,75.8,12,27,58.2,6,5,09-05-24,High,55.9
EMP0397,22,0,1,Female,Bachelor Degree,In Relationship,No,Urban,Customer Success,Junior,Medium (201-1000),Finance,Good,Moderate (25-50 Mbps),43,Moderate,Weekly,81.5,63.1,72.2,84.2,11,33,78.4,9,7,22-01-24,High,63.1
EMP0398,47,7,4,Female,Master Degree,Married,No,Suburban,Sales,Mid-Level,Enterprise (5000+),Non-profit,Excellent,Very Fast (100+ Mbps),40,Moderate,Monthly,100,84.4,83.9,95,10,18,100,4,5,05-02-24,Medium,95.5
EMP0399,33,4,4,Female,Bachelor Degree,Divorced,Yes,Urban,Sales,Senior,Small (51-200),Education,Excellent,Fast (50-100 Mbps),37,High,Daily,93.7,99.5,76.5,95,10,30,100,3,7,03-03-24,High,94.9
EMP0400,46,17,2,Female,PhD,Divorced,Yes,Suburban,Marketing,Manager,Small (51-200),Technology,Average,Very Fast (100+ Mbps),35,High,Daily,94.2,100,88.6,95,10,25,100,7,6,15-01-24,High,94.8
EMP0401,22,0,2,Male,Master Degree,Divorced,Yes,Urban,Sales,Mid-Level,Small (51-200),Healthcare,Good,Very Fast (100+ Mbps),50,High,Daily,93.4,83,81.2,94.2,5,55,100,7,5,04-03-24,High,89.1
EMP0402,29,3,3,Female,Bachelor Degree,Single,No,Urban,Sales,Mid-Level,Small (51-200),Technology,Good,Moderate (25-50 Mbps),46,Very High,Weekly,87.3,95.1,74.8,95,9,35,100,5,8,17-02-24,High,98
EMP0403,35,2,4,Male,Associate Degree,In Relationship,No,Urban,Operations,Junior,Startup (1-50),Technology,Good,Fast (50-100 Mbps),45,High,Few times per week,82,94.3,70.7,95,7,14,100,8,6,12-05-24,High,86.4
EMP0404,35,8,3,Male,PhD,Single,No,Suburban,Engineering,Senior,Small (51-200),Finance,Good,Fast (50-100 Mbps),39,Moderate,Few times per week,94.3,79.9,78.2,95,6,48,100,6,1,24-04-24,High,86.3
EMP0405,30,2,4,Male,Bachelor Degree,Single,Yes,Urban,HR,Junior,Small (51-200),Healthcare,Good,Very Fast (100+ Mbps),54,High,Daily,90,93.6,83.3,95,10,0,100,6,8,24-04-24,High,95.6
EMP0406,40,1,1,Male,Associate Degree,Married,No,Suburban,HR,Junior,Large (1001-5000),Non-profit,Average,Very Fast (100+ Mbps),37,Moderate,Few times per week,78.5,93,86.4,95,3,65,100,8,5,13-03-24,Medium,86.5
EMP0407,25,0,4,Female,Master Degree,Single,Yes,Suburban,Customer Success,Junior,Small (51-200),Non-profit,Excellent,Very Fast (100+ Mbps),39,Moderate,Daily,79.4,77.5,72.6,95,6,45,100,3,8,20-02-24,High,84
EMP0408,33,1,2,Female,Master Degree,Single,No,Suburban,Customer Success,Junior,Medium (201-1000),Technology,Average,Very Fast (100+ Mbps),52,Very High,Few times per week,83.4,98.7,70.9,95,7,13,100,4,7,09-03-24,High,87
EMP0409,36,2,2,Female,Master Degree,Married,Yes,Suburban,Operations,Junior,Medium (201-1000),Healthcare,Good,Very Fast (100+ Mbps),41,Very High,Daily,93.5,100,69.9,95,11,28,100,5,9,13-04-24,Medium,98
EMP0410,39,5,3,Male,Bachelor Degree,Single,No,Urban,HR,Junior,Startup (1-50),Consulting,Average,Fast (50-100 Mbps),52,High,Few times per week,100,99.8,80.4,95,5,8,100,3,6,17-04-24,High,96.9
EMP0411,41,11,0,Female,Master Degree,Married,No,Urban,Marketing,Lead,Enterprise (5000+),Technology,Poor,Very Fast (100+ Mbps),44,Moderate,Few times per week,44.1,50,43.9,71.2,8,25,61.7,10,4,24-04-24,High,42.9
EMP0412,24,1,0,Female,Master Degree,Single,No,Suburban,Design,Junior,Large (1001-5000),Manufacturing,Good,Very Fast (100+ Mbps),38,High,Daily,95.2,76.8,51.1,95,9,62,100,5,1,26-03-24,High,80.9
EMP0413,22,0,2,Male,Master Degree,Married,No,Urban,Engineering,Junior,Medium (201-1000),Consulting,Excellent,Fast (50-100 Mbps),40,Moderate,Daily,100,83.6,85.9,95,11,31,100,9,8,08-04-24,Medium,97.2
EMP0414,46,5,3,Male,PhD,In Relationship,No,Suburban,Product,Mid-Level,Medium (201-1000),Education,Excellent,Moderate (25-50 Mbps),37,Moderate,Weekly,89.2,97.5,73.8,95,7,0,92.8,6,8,15-04-24,High,98
EMP0415,37,1,5,Female,Bachelor Degree,Married,Yes,Suburban,Engineering,Junior,Medium (201-1000),Finance,Excellent,Slow (<25 Mbps),46,Moderate,Few times per week,96.9,94,56.7,95,12,0,100,9,4,17-03-24,High,90.3
EMP0416,28,1,4,Female,Master Degree,Married,No,Urban,Engineering,Mid-Level,Small (51-200),Media,Average,Moderate (25-50 Mbps),49,Very High,Bi-weekly,87.6,86.8,91.1,95,6,35,100,5,10,03-02-24,Medium,91.8
EMP0417,48,5,3,Female,PhD,In Relationship,No,Suburban,Marketing,Mid-Level,Startup (1-50),Media,Excellent,Very Fast (100+ Mbps),44,Moderate,Daily,100,99.1,94.1,95,13,28,91.6,8,9,08-02-24,Medium,93.4
EMP0418,36,6,0,Female,Bachelor Degree,Single,Yes,Rural,Operations,Senior,Medium (201-1000),Retail,Excellent,Very Fast (100+ Mbps),43,Very High,Daily,100,93.2,88,95,5,11,100,7,6,21-02-24,Medium,95.2
EMP0419,45,9,3,Female,High School,Married,No,Urban,Engineering,Lead,Enterprise (5000+),Finance,Average,Moderate (25-50 Mbps),35,Very High,Daily,77.8,89,82.9,95,4,48,100,9,4,11-02-24,Low,98
EMP0420,35,3,4,Male,Master Degree,Divorced,No,Suburban,Operations,Mid-Level,Small (51-200),Manufacturing,Good,Moderate (25-50 Mbps),48,High,Daily,87.6,92.8,84.5,95,5,35,100,6,5,22-01-24,High,86.3
EMP0421,53,17,2,Female,Bachelor Degree,In Relationship,No,Urban,Customer Success,Manager,Medium (201-1000),Finance,Good,Fast (50-100 Mbps),47,Moderate,Daily,82.6,93.1,74.6,95,6,28,100,4,9,29-03-24,High,95.8
EMP0422,50,14,1,Male,High School,Married,No,Suburban,Engineering,Lead,Startup (1-50),Technology,Good,Very Fast (100+ Mbps),43,Very Low,Daily,66.7,61.9,54.2,73.3,12,39,100,6,7,18-04-24,High,58.3
EMP0423,32,6,2,Female,Bachelor Degree,Single,No,Rural,Operations,Senior,Startup (1-50),Healthcare,Average,Very Fast (100+ Mbps),40,High,Few times per week,100,100,95,95,3,60,100,3,9,24-03-24,High,97.8
EMP0424,43,2,4,Female,Bachelor Degree,Divorced,No,Suburban,Sales,Junior,Medium (201-1000),Non-profit,Excellent,Moderate (25-50 Mbps),42,Moderate,Weekly,88.9,83.4,49.9,93.9,4,33,86.8,5,2,22-01-24,Medium,80.9
EMP0425,40,7,2,Female,Bachelor Degree,Single,No,Suburban,Marketing,Senior,Small (51-200),Manufacturing,Good,Very Fast (100+ Mbps),36,High,Weekly,100,82.1,82.6,95,8,5,100,7,10,19-04-24,Low,98
EMP0426,47,9,4,Non-binary,Bachelor Degree,Married,No,Rural,Finance,Lead,Enterprise (5000+),Retail,Average,Fast (50-100 Mbps),33,Moderate,Few times per week,80.3,64.6,57.6,70.1,4,13,73.8,1,7,24-02-24,Medium,58.8
EMP0427,26,0,2,Male,PhD,Married,No,Suburban,Sales,Junior,Medium (201-1000),Healthcare,Good,Slow (<25 Mbps),40,High,Few times per week,62.2,73.4,70,80.5,6,0,100,6,4,22-01-24,High,66.3
EMP0428,41,12,1,Female,Master Degree,Married,Yes,Suburban,Data Science,Senior,Small (51-200),Finance,Average,Fast (50-100 Mbps),36,High,Weekly,96.3,100,91.4,95,8,30,100,7,6,21-01-24,High,98
EMP0429,44,2,3,Female,Master Degree,Married,Yes,Suburban,Operations,Junior,Medium (201-1000),Consulting,Average,Very Fast (100+ Mbps),38,Moderate,Few times per week,78.5,84.2,64.7,95,7,0,100,8,8,29-03-24,High,82.5
EMP0430,22,1,3,Non-binary,Associate Degree,Divorced,Yes,Suburban,Customer Success,Junior,Large (1001-5000),Healthcare,Average,Very Fast (100+ Mbps),39,Moderate,Weekly,86.7,82,74.2,95,11,26,97.6,7,4,16-03-24,Medium,81.9
EMP0431,24,0,0,Female,Master Degree,Married,No,Suburban,Finance,Junior,Startup (1-50),Consulting,Average,Very Fast (100+ Mbps),41,Very High,Monthly,82.5,75.3,83.3,95,7,51,100,5,7,19-03-24,High,84.2
EMP0432,22,0,1,Male,Master Degree,Single,No,Rural,Customer Success,Mid-Level,Medium (201-1000),Healthcare,Average,Fast (50-100 Mbps),41,Moderate,Bi-weekly,79.2,81.2,75.7,95,8,31,100,7,7,11-05-24,High,83.2
EMP0433,32,3,1,Female,Master Degree,Married,No,Suburban,Engineering,Senior,Large (1001-5000),Manufacturing,Average,Fast (50-100 Mbps),25,High,Few times per week,87.2,78.1,73.3,95,7,9,100,6,6,03-05-24,High,82.4
EMP0434,41,2,1,Female,Bachelor Degree,Married,No,Suburban,Engineering,Junior,Startup (1-50),Consulting,Average,Very Fast (100+ Mbps),44,Very High,Few times per week,71.9,76.9,52.7,82.5,9,33,100,6,7,22-03-24,Medium,69.5
EMP0435,48,12,2,Male,Bachelor Degree,Married,Yes,Urban,Marketing,Senior,Enterprise (5000+),Finance,Good,Very Fast (100+ Mbps),42,High,Weekly,86.3,100,93.3,95,11,39,100,3,8,04-02-24,High,98
EMP0436,35,7,5,Female,Master Degree,In Relationship,No,Suburban,Customer Success,Lead,Small (51-200),Technology,Excellent,Very Fast (100+ Mbps),47,Low,Daily,95.9,100,72.9,95,11,0,100,6,10,22-01-24,Medium,98
EMP0437,49,14,3,Female,Master Degree,Divorced,No,Suburban,Engineering,Lead,Small (51-200),Technology,Good,Slow (<25 Mbps),40,Low,Weekly,69,72.8,55.4,88.8,8,38,50.8,8,7,20-03-24,Medium,61.7
EMP0438,22,0,4,Female,Master Degree,Married,Yes,Suburban,Data Science,Junior,Medium (201-1000),Media,Excellent,Moderate (25-50 Mbps),48,Very High,Few times per week,100,96.8,93.7,95,8,14,100,5,7,25-01-24,Medium,98
EMP0439,22,1,2,Male,Bachelor Degree,Single,Yes,Urban,Engineering,Junior,Small (51-200),Retail,Good,Very Fast (100+ Mbps),41,Moderate,Weekly,68.4,69,59,74.8,6,44,87.2,7,5,02-05-24,High,65.5
EMP0440,34,5,2,Female,Bachelor Degree,Married,No,Rural,Engineering,Senior,Large (1001-5000),Retail,Good,Moderate (25-50 Mbps),44,Moderate,Daily,75.1,100,87.9,95,7,11,100,8,6,07-02-24,High,90.6
EMP0441,38,7,0,Female,Master Degree,Divorced,Yes,Urban,Engineering,Mid-Level,Medium (201-1000),Finance,Poor,Fast (50-100 Mbps),36,Low,Daily,96.6,98.1,82.9,95,3,16,99.3,6,9,23-01-24,High,90.7
EMP0442,34,7,3,Female,Associate Degree,Married,No,Urban,Operations,Senior,Startup (1-50),Retail,Poor,Fast (50-100 Mbps),48,Low,Few times per week,76.8,68,60.3,87.8,7,43,90.2,3,3,31-03-24,High,73
EMP0443,22,1,3,Male,Master Degree,Divorced,Yes,Suburban,Product,Mid-Level,Enterprise (5000+),Education,Average,Fast (50-100 Mbps),49,Moderate,Few times per week,74,61.8,77.1,79.9,7,53,100,2,5,23-01-24,High,68.3
EMP0444,34,5,1,Male,Professional Degree,Married,No,Suburban,Engineering,Mid-Level,Large (1001-5000),Technology,Poor,Fast (50-100 Mbps),53,Very High,Daily,92.3,89,92.1,95,11,19,100,7,5,10-04-24,Low,90
EMP0445,23,0,4,Female,Master Degree,Married,Yes,Urban,Operations,Junior,Medium (201-1000),Government,Poor,Very Fast (100+ Mbps),38,High,Few times per week,60.1,52.1,37.7,67.7,12,42,98.6,2,3,04-05-24,High,51.1
EMP0446,41,10,3,Female,Bachelor Degree,Married,Yes,Suburban,Engineering,Senior,Medium (201-1000),Finance,Average,Fast (50-100 Mbps),45,Moderate,Daily,80.3,86.7,71,92.7,9,35,100,10,7,14-02-24,High,87.6
EMP0447,38,14,2,Male,Bachelor Degree,Married,No,Urban,Operations,Lead,Startup (1-50),Finance,Excellent,Moderate (25-50 Mbps),33,Low,Few times per week,89.2,94.6,84.7,95,12,25,81.7,3,9,06-03-24,High,98
EMP0448,26,0,1,Male,Master Degree,Divorced,No,Urban,Engineering,Junior,Large (1001-5000),Finance,Good,Very Fast (100+ Mbps),30,High,Few times per week,55.2,69.7,71.2,85.6,9,33,100,7,2,30-01-24,High,65.7
EMP0449,30,4,3,Male,Master Degree,Single,No,Urban,Marketing,Mid-Level,Large (1001-5000),Technology,Good,Very Fast (100+ Mbps),45,Moderate,Daily,58.9,60.8,56.4,67.7,7,32,98.1,8,5,14-05-24,Medium,57.3
EMP0450,25,1,4,Female,Bachelor Degree,Single,Yes,Rural,Finance,Junior,Startup (1-50),Education,Excellent,Very Fast (100+ Mbps),41,Moderate,Few times per week,70.6,80,81.1,92.9,11,34,87.2,5,9,07-05-24,Low,72.8
EMP0451,34,2,2,Male,Bachelor Degree,Married,Yes,Urban,Operations,Mid-Level,Medium (201-1000),Technology,Average,Very Fast (100+ Mbps),34,Very High,Daily,82.8,80.8,75.4,92.6,9,61,100,6,6,27-03-24,High,77.3
EMP0452,43,11,2,Male,Bachelor Degree,Single,No,Urban,Engineering,Manager,Medium (201-1000),Manufacturing,Excellent,Very Fast (100+ Mbps),43,Moderate,Weekly,87,94.1,95,95,12,16,100,9,9,15-02-24,High,91.7
EMP0453,26,0,3,Male,Master Degree,Married,Yes,Suburban,Engineering,Mid-Level,Small (51-200),Finance,Good,Fast (50-100 Mbps),47,High,Daily,100,100,95,95,10,38,100,9,9,29-03-24,High,98
EMP0454,39,6,1,Female,Master Degree,Single,Yes,Suburban,Finance,Mid-Level,Large (1001-5000),Healthcare,Excellent,Very Fast (100+ Mbps),42,Moderate,Weekly,86.6,89,91.2,95,2,49,97.1,9,10,31-03-24,High,90.3
EMP0455,30,2,4,Male,PhD,Single,No,Suburban,Customer Success,Junior,Startup (1-50),Education,Good,Very Fast (100+ Mbps),49,Moderate,Daily,53.4,65.6,66.5,77.6,12,47,90.9,5,6,20-01-24,Medium,64.2
EMP0456,27,2,4,Male,Bachelor Degree,Married,Yes,Suburban,Product,Junior,Small (51-200),Manufacturing,Good,Moderate (25-50 Mbps),38,Very Low,Few times per week,67.3,63.5,48.7,71.5,11,20,100,2,6,03-04-24,High,58.2
EMP0457,34,4,1,Female,Master Degree,Married,Yes,Suburban,Customer Success,Senior,Startup (1-50),Technology,Average,Fast (50-100 Mbps),48,Low,Few times per week,71.4,76.4,61.4,82.4,10,57,82.9,3,8,25-01-24,Medium,71.2
EMP0458,25,1,0,Male,Bachelor Degree,Single,Yes,Urban,Data Science,Mid-Level,Medium (201-1000),Government,Good,Very Fast (100+ Mbps),39,Very High,Daily,72.4,71.9,73.4,85.3,12,64,100,3,7,08-03-24,Medium,76.2
EMP0459,30,4,4,Male,Bachelor Degree,Single,No,Suburban,Sales,Senior,Small (51-200),Education,Good,Very Fast (100+ Mbps),49,Very High,Daily,95.7,93.1,86.9,95,9,29,100,7,7,08-04-24,Medium,98
EMP0460,24,0,2,Female,Master Degree,Single,Yes,Suburban,Sales,Junior,Large (1001-5000),Technology,Average,Fast (50-100 Mbps),34,Moderate,Daily,40,50,35.8,64.6,10,39,88.9,8,7,29-03-24,High,35
EMP0461,52,12,1,Male,Bachelor Degree,Married,No,Urban,Engineering,Senior,Large (1001-5000),Finance,Average,Fast (50-100 Mbps),43,Moderate,Daily,100,92.6,93.4,95,11,34,96.5,2,6,27-03-24,Medium,98
EMP0462,35,10,4,Female,Bachelor Degree,Single,Yes,Urban,Marketing,Lead,Startup (1-50),Finance,Good,Very Fast (100+ Mbps),43,Moderate,Few times per week,62.6,74.6,53.8,72.6,3,37,92.2,8,5,21-03-24,Medium,63.3
EMP0463,28,2,2,Male,Master Degree,Married,No,Suburban,Finance,Junior,Large (1001-5000),Manufacturing,Excellent,Moderate (25-50 Mbps),44,High,Few times per week,92.6,77.8,53.2,91.2,9,57,100,7,7,24-02-24,High,73.7
EMP0464,36,4,3,Female,Bachelor Degree,Married,Yes,Urban,Customer Success,Junior,Large (1001-5000),Finance,Excellent,Fast (50-100 Mbps),39,Moderate,Daily,70,59.3,53.1,77.6,9,34,87,6,5,13-05-24,Medium,57.7
EMP0465,33,6,2,Male,Associate Degree,Married,No,Rural,Engineering,Lead,Small (51-200),Finance,Average,Moderate (25-50 Mbps),44,High,Few times per week,80.6,92,81.3,95,6,48,100,10,6,17-02-24,High,89.7
EMP0466,33,3,4,Female,Bachelor Degree,Married,No,Suburban,Marketing,Mid-Level,Startup (1-50),Technology,Good,Very Fast (100+ Mbps),40,High,Monthly,88,81.5,58.2,94.1,9,14,100,4,7,10-02-24,Medium,74.8
EMP0467,40,14,2,Male,Bachelor Degree,Married,No,Urban,Finance,Senior,Startup (1-50),Technology,Excellent,Very Fast (100+ Mbps),38,Very High,Bi-weekly,83.1,93.5,95,95,11,22,100,4,7,09-04-24,High,96.5
EMP0468,41,13,5,Male,Master Degree,In Relationship,No,Urban,Operations,Lead,Small (51-200),Retail,Excellent,Very Fast (100+ Mbps),50,Low,Daily,77.3,99.9,79,95,8,0,67.9,5,7,15-04-24,High,86.2
EMP0469,30,1,4,Female,Bachelor Degree,Married,No,Rural,Engineering,Junior,Large (1001-5000),Education,Average,Very Fast (100+ Mbps),42,Moderate,Daily,61.7,62.3,58.1,79.2,10,6,50.8,6,7,24-02-24,Medium,62
EMP0470,29,1,1,Non-binary,Master Degree,Married,Yes,Urban,Customer Success,Junior,Medium (201-1000),Technology,Good,Very Fast (100+ Mbps),32,Very Low,Few times per week,48.2,50,43.2,52.2,10,75,90.4,5,6,14-02-24,High,35
EMP0471,32,5,3,Male,Associate Degree,Married,No,Suburban,Engineering,Mid-Level,Enterprise (5000+),Technology,Good,Very Fast (100+ Mbps),37,Moderate,Daily,79.4,84.7,68,94.9,9,19,100,8,7,17-02-24,High,83.6
EMP0472,22,1,3,Female,Bachelor Degree,Single,No,Suburban,Product,Mid-Level,Large (1001-5000),Finance,Good,Fast (50-100 Mbps),50,Very High,Daily,76.7,92.4,71,95,7,35,100,8,3,05-03-24,High,81.4
EMP0473,22,1,3,Male,Bachelor Degree,Married,No,Suburban,Design,Junior,Small (51-200),Retail,Excellent,Very Fast (100+ Mbps),36,Moderate,Daily,92,97.5,80.2,95,7,10,94.8,9,6,31-01-24,High,86.2
EMP0474,47,6,4,Female,Master Degree,Divorced,Yes,Suburban,Sales,Senior,Large (1001-5000),Consulting,Good,Very Fast (100+ Mbps),45,Very High,Daily,100,97.9,95,95,11,17,100,8,7,09-04-24,High,98
EMP0475,49,7,3,Male,Bachelor Degree,Married,No,Urban,Sales,Mid-Level,Startup (1-50),Technology,Good,Moderate (25-50 Mbps),37,Moderate,Few times per week,92.2,100,84.2,95,13,7,100,6,6,06-04-24,Medium,98
EMP0476,32,3,0,Female,Master Degree,Married,No,Urban,HR,Mid-Level,Startup (1-50),Finance,Good,Very Fast (100+ Mbps),33,High,Few times per week,83.8,93.1,87.5,95,13,18,100,6,1,22-02-24,Medium,92.3
EMP0477,40,10,4,Male,Bachelor Degree,Married,No,Suburban,Marketing,Senior,Medium (201-1000),Finance,Average,Fast (50-100 Mbps),44,Moderate,Daily,75.7,83.2,66.6,95,8,26,100,4,7,13-03-24,High,82.2
EMP0478,37,6,0,Male,Professional Degree,Single,Yes,Rural,Engineering,Lead,Small (51-200),Media,Good,Fast (50-100 Mbps),40,Moderate,Few times per week,50,50,49,76.3,14,41,90.9,4,6,24-02-24,High,50.9
EMP0479,62,11,4,Male,Master Degree,Single,Yes,Urban,Product,Senior,Small (51-200),Healthcare,Average,Slow (<25 Mbps),51,High,Few times per week,72.6,96.4,75.5,95,7,25,100,10,4,12-05-24,High,92
EMP0480,45,4,4,Male,Master Degree,Divorced,No,Suburban,Marketing,Mid-Level,Large (1001-5000),Technology,Excellent,Moderate (25-50 Mbps),48,Very High,Few times per week,100,96.7,68,95,9,13,100,4,10,20-04-24,High,98
EMP0481,33,7,2,Female,Master Degree,In Relationship,No,Urban,Engineering,Lead,Large (1001-5000),Finance,Good,Very Fast (100+ Mbps),49,High,Monthly,92.7,93.3,82.2,95,12,31,100,6,9,13-05-24,High,84.1
EMP0482,26,0,2,Non-binary,Master Degree,Married,No,Rural,Operations,Junior,Small (51-200),Finance,Excellent,Moderate (25-50 Mbps),48,Very Low,Monthly,46.1,51.2,30.9,57.3,6,52,73.9,5,4,24-01-24,High,42.4
EMP0483,22,1,4,Female,Master Degree,In Relationship,No,Suburban,Engineering,Junior,Small (51-200),Education,Average,Very Fast (100+ Mbps),46,High,Few times per week,96.1,95.2,95,95,5,42,100,7,7,16-01-24,High,98
EMP0484,36,2,4,Male,Bachelor Degree,Married,No,Urban,Engineering,Junior,Medium (201-1000),Technology,Good,Fast (50-100 Mbps),33,Moderate,Weekly,84.6,96.6,82.1,95,15,35,84.5,5,6,13-03-24,High,84.2
EMP0485,28,4,2,Male,Associate Degree,Single,No,Urban,Marketing,Mid-Level,Large (1001-5000),Finance,Good,Very Fast (100+ Mbps),40,Very High,Daily,75.5,96.3,62.9,95,3,41,100,7,5,03-04-24,High,92.4
EMP0486,22,0,2,Female,Master Degree,Married,No,Urban,Sales,Junior,Small (51-200),Education,Average,Fast (50-100 Mbps),46,High,Few times per week,86.6,94.5,84.7,95,9,28,100,9,7,27-03-24,High,95.9
EMP0487,29,1,3,Non-binary,Bachelor Degree,Single,No,Suburban,Operations,Junior,Enterprise (5000+),Technology,Poor,Fast (50-100 Mbps),40,Moderate,Weekly,82.1,69.6,62.3,95,5,14,100,4,6,27-01-24,High,79.6
EMP0488,25,0,0,Male,Bachelor Degree,Divorced,Yes,Urban,Data Science,Junior,Large (1001-5000),Education,Excellent,Fast (50-100 Mbps),41,Moderate,Few times per week,74.9,81.6,57.7,95,7,33,96.9,5,9,24-01-24,High,79.1
EMP0489,50,15,1,Female,Bachelor Degree,In Relationship,Yes,Urban,Customer Success,Manager,Medium (201-1000),Finance,Excellent,Fast (50-100 Mbps),46,Moderate,Daily,100,92.1,95,95,6,38,100,5,7,23-03-24,High,95.3
EMP0490,42,13,1,Non-binary,Bachelor Degree,Divorced,No,Rural,Engineering,Lead,Enterprise (5000+),Manufacturing,Excellent,Very Fast (100+ Mbps),48,Moderate,Daily,100,91.3,82.1,95,4,55,100,5,6,11-02-24,High,98
EMP0491,34,1,1,Female,Master Degree,Married,No,Suburban,Engineering,Junior,Enterprise (5000+),Technology,Average,Very Fast (100+ Mbps),36,Moderate,Few times per week,75.2,84.6,62.6,95,8,22,100,5,6,19-03-24,Medium,74.7
EMP0492,48,17,3,Male,High School,Married,Yes,Suburban,Operations,Manager,Startup (1-50),Media,Excellent,Fast (50-100 Mbps),46,High,Few times per week,99.7,95,81.7,95,9,9,100,6,2,17-02-24,Medium,98
EMP0493,35,6,5,Male,PhD,Single,Yes,Urban,Operations,Senior,Startup (1-50),Technology,Good,Very Fast (100+ Mbps),45,Very High,Monthly,84.1,100,83.4,95,12,0,100,6,4,31-01-24,High,96.3
EMP0494,27,1,4,Female,PhD,Married,No,Urban,Product,Junior,Large (1001-5000),Technology,Good,Very Fast (100+ Mbps),36,High,Daily,97.4,95.6,94.2,95,9,0,100,6,2,13-05-24,High,97.6
EMP0495,48,9,0,Female,PhD,Married,Yes,Urban,Operations,Senior,Enterprise (5000+),Consulting,Good,Fast (50-100 Mbps),39,Very High,Bi-weekly,72.6,60.8,64.9,80.8,11,56,100,8,3,28-02-24,Low,73.5
EMP0496,39,2,3,Male,Bachelor Degree,Married,No,Suburban,Engineering,Mid-Level,Large (1001-5000),Consulting,Excellent,Moderate (25-50 Mbps),42,Low,Daily,64.1,64.6,45.1,82.3,8,23,84.8,3,3,06-05-24,High,64.4
EMP0497,25,0,3,Male,Bachelor Degree,In Relationship,No,Suburban,Marketing,Mid-Level,Medium (201-1000),Technology,Good,Very Fast (100+ Mbps),50,Moderate,Bi-weekly,91.1,94.9,95,95,13,1,96.4,4,1,23-01-24,High,98
EMP0498,33,6,1,Female,PhD,Divorced,Yes,Rural,Customer Success,Mid-Level,Large (1001-5000),Media,Excellent,Fast (50-100 Mbps),39,High,Weekly,100,95.2,95,95,10,23,100,6,8,06-05-24,High,98
EMP0499,27,0,5,Female,Master Degree,Single,No,Suburban,Design,Junior,Small (51-200),Technology,Excellent,Very Fast (100+ Mbps),44,Low,Daily,82.3,76.4,60.5,95,10,0,100,5,6,15-02-24,High,79.7
EMP0500,22,1,3,Male,Master Degree,Single,No,Urban,Engineering,Junior,Enterprise (5000+),Education,Good,Very Fast (100+ Mbps),49,Low,Daily,100,90.7,79.9,95,11,14,100,4,8,02-03-24,Low,97.8
EMP0501,43,13,5,Female,Bachelor Degree,Married,No,Rural,Marketing,Senior,Medium (201-1000),Technology,Average,Very Fast (100+ Mbps),53,High,Daily,88.2,100,85.6,95,9,0,100,7,4,20-02-24,High,98
EMP0502,52,9,3,Female,Bachelor Degree,Single,Yes,Urban,Engineering,Lead,Enterprise (5000+),Finance,Excellent,Fast (50-100 Mbps),43,Low,Monthly,100,100,78.3,95,9,17,100,6,8,04-02-24,Medium,98
EMP0503,22,1,4,Female,Master Degree,Married,Yes,Urban,Marketing,Mid-Level,Medium (201-1000),Healthcare,Good,Fast (50-100 Mbps),29,Very High,Few times per week,97.1,86.6,76.5,95,10,34,100,4,3,11-03-24,High,93.8
EMP0504,40,5,1,Male,Bachelor Degree,Married,No,Urban,Engineering,Mid-Level,Enterprise (5000+),Education,Excellent,Very Fast (100+ Mbps),47,Low,Weekly,82.2,84.9,82.2,95,5,13,88.2,4,5,30-04-24,High,85.1
EMP0505,29,3,3,Female,Master Degree,Single,Yes,Suburban,Design,Junior,Small (51-200),Healthcare,Average,Fast (50-100 Mbps),43,High,Daily,92.2,94.3,66.9,95,4,37,100,7,6,24-03-24,High,85
EMP0506,30,0,2,Female,Master Degree,Married,Yes,Suburban,Operations,Junior,Large (1001-5000),Healthcare,Average,Very Fast (100+ Mbps),36,Moderate,Bi-weekly,89,79.3,71.5,92.6,15,21,88.4,5,5,14-04-24,High,74.5
EMP0507,29,2,4,Male,Master Degree,Married,Yes,Urban,Customer Success,Junior,Enterprise (5000+),Government,Average,Very Fast (100+ Mbps),46,High,Daily,66.1,67.3,62.4,79.7,13,13,100,4,4,22-02-24,High,66.4
EMP0508,27,1,4,Female,Bachelor Degree,Divorced,Yes,Urban,Data Science,Mid-Level,Medium (201-1000),Technology,Good,Fast (50-100 Mbps),53,Very Low,Daily,42.1,50,30,43.4,3,7,71.4,9,7,02-04-24,High,35
EMP0509,35,0,4,Male,Bachelor Degree,Single,Yes,Suburban,Engineering,Junior,Large (1001-5000),Technology,Good,Very Fast (100+ Mbps),43,Very High,Daily,72.4,76.5,60.5,95,2,23,100,3,1,27-04-24,High,83
EMP0510,27,3,4,Male,Professional Degree,Divorced,Yes,Rural,Finance,Mid-Level,Startup (1-50),Retail,Average,Very Fast (100+ Mbps),32,High,Few times per week,85.3,81.2,89.7,95,6,29,100,3,8,07-04-24,High,82.5
